anonymous_id,BICF2G630691191,BICF2G630691207,BICF2G630691220,BICF2G630691225,BICF2G630691232,BICF2G630691235,BICF2G630691255,BICF2G630691280,BICF2G630691318,BICF2G630691338,BICF2G630691371,BICF2G630691373,BICF2G630691391,BICF2G630691407,BICF2G630691412,BICF2G630691442_dup,BICF2G630691458_dup,BICF2G630691475_dup,BICF2G630691497_dup,BICF2G630691508_dup,BICF2G630691514_dup,BICF2G630691519_dup,BICF2S22920989_dup,BICF2G630691523,BICF2G630691548,BICF2G630691563,BICF2G630691586,BICF2G630691635,BICF2G630691654,BICF2G630691658,BICF2G630691664,BICF2G630691666,BICF2G630691701,BICF2G630691707,BICF2G630691725,BICF2P253221,BICF2P499704,BICF2P54504,BICF2P54505,BICF2P660085,BICF2P844269,BICF2P919478,BICF2S23028732,chr18_44659214,chr18_44659335,chr18_44713998,chr18_44727333,chr18_44986425,chr18_44986939,chr18_44987913
0001,0.2486,0.0399,0.0902,0.0536,0.0711,0.0988,-0.073,0.4996,0.1396,0.1432,0.2745,0.2756,0.2221,-0.0154,-0.2842,0.2596,0.2939,0.6208,0.1792,0.201,0.3244,-0.1946,0.3471,0.125,-0.2128,0.3161,-0.0339,0.0133,-0.0191,0.7652,0.3904,0.2168,-0.0639,0.024,0.0694,0.029,0.0071,0.0715,0.102,0.3325,0.1089,-0.0555,0.2392,0.1193,0.1969,0.1013,-0.0361,0.0448,-0.0229,0.1932
0002,-0.0978,-0.1215,-0.0288,-0.1681,0.1149,0.1469,-0.1678,0.0333,0.0294,-0.0044,-0.0026,0.1784,0.0045,0.0071,-0.338,0.0187,-0.0913,0.0079,0.0744,0.082,-0.1223,-0.1029,-0.0951,0.0308,0.0639,-0.2611,-0.2546,-0.155,0.1678,0.0439,-0.1211,-0.0455,0.126,-0.0078,-0.0201,0.0481,-0.1993,-0.0121,0.0393,0.1043,-0.067,-0.0746,-0.0752,-0.0016,-0.0158,0.2423,0.0577,0.0309,-0.1059,-0.0224
0003,0.0024,-0.0858,-0.0245,0.1714,0.0851,0.0374,0.0336,0.3154,0.0276,-0.0318,-0.2131,0.0722,0.0143,-0.0655,-0.0966,0.0796,-0.0302,0.0034,0.0604,-0.0611,0.1984,-0.0031,0.0593,-0.0251,0.107,-0.0367,-0.149,-0.1874,0.0124,0.209,-0.0793,-0.0023,0.1834,-0.099,0.0291,0.0408,-0.0844,-0.0996,0.049,0.0037,-0.0117,-0.0645,-0.0588,-0.0516,-0.1032,0.01,-0.0918,-0.1066,-0.0811,-0.0016
0004,-0.3,-0.2167,-0.1799,0.1325,0.0641,0.2599,-0.2771,-0.0275,0.1496,-0.0416,-0.069,0.1474,-0.5587,-0.0951,-0.7781,-0.2981,-0.4821,0.1647,-0.2594,-0.446,-0.7321,-0.5316,-0.4559,-0.428,-0.5434,-0.4093,-0.3945,-1.2218,-0.4111,-0.9692,-0.2173,-0.3433,-1.2772,-0.5706,0.0589,-0.2721,-0.7746,-0.0977,0.2851,-1.2436,-0.1392,-0.4679,-0.1257,-0.0211,-1.1673,-0.4559,0.0869,0.182,-0.5889,-0.2256
0005,-0.0096,0.0297,-0.0641,0.0777,0.1101,-0.0612,-0.1514,0.1429,-0.0009,-0.0873,-0.0367,0.0336,0.014,0.0148,0.0139,-0.0621,0.0584,0.0802,-0.1505,-0.052,-0.0186,0.0501,0.3448,0.0776,-0.0323,-0.0206,-0.2046,-0.156,-0.0093,0.0697,0.0381,0.0638,0.1675,-0.045,0.0308,0.1062,0.1048,-0.0908,-0.0133,-0.1509,0.0522,0.0327,0.0178,0.0089,-0.195,0.0219,-0.1576,-0.038,-0.0605,-0.0363
0006,-0.0002,-0.1116,-0.023,0.0014,-0.0323,0.1484,-0.0468,0.1995,0.1525,0.0207,0.0592,0.2241,-0.0499,0.0727,-0.3865,0.0045,-0.021,0.1643,0.0185,0.0761,-0.1411,-0.0464,-0.1566,-0.0432,0.0278,-0.1701,-0.1793,-0.3649,0.0135,-0.0265,0.0264,0.2055,0.5224,0.2729,0.0663,0.1772,-0.0508,0.0735,0.1208,-0.0694,0.0497,-0.1498,0.0119,0.0822,0.1544,-0.0039,0.0579,0.0209,-0.2714,-0.0686
0007,-0.069,-0.4186,-0.0292,0.0088,0.1778,-0.003,0.0311,0.244,-0.0542,-0.0791,0.0093,0.0485,-0.0966,-0.0465,-0.1293,0.0532,0.0111,-0.0067,-0.0108,-0.1459,0.154,-0.031,0.1334,-0.1716,0.0572,-0.0338,-0.1861,-0.0453,-0.0144,0.2621,-0.0099,0.0626,0.0097,-0.1299,0.0476,0.0781,-0.1184,-0.1865,-0.1098,-0.1617,0.0271,0.0001,-0.1597,-0.0224,-0.0688,-0.0836,-0.2375,-0.0688,-0.0014,-0.0644
0008,-0.0483,-0.0819,0.0052,0.0292,-0.1983,0.0684,-0.0573,0.2021,0.0228,0.0898,0.0794,0.1866,-0.0196,0.079,-0.3678,0.0689,0.0694,0.0805,0.0381,0.1037,-0.0341,-0.0153,-0.0194,0.0219,0.037,-0.0025,-0.1222,-0.127,0.0284,0.2799,-0.0084,0.0973,-0.0021,0.0913,0.0342,0.1369,0.0026,0.0023,0.1368,0.0285,0.013,-0.0677,0.0081,0.0355,0.0134,0.1037,0.0569,0.0366,-0.1491,-0.0336
0009,0.0586,0.0074,-0.0384,-0.0236,-0.1028,0.1067,-0.0655,0.086,0.1423,0.1387,0.1111,0.352,0.3331,0.1586,-0.1482,0.0146,0.0848,0.2268,0.3291,0.1823,0.286,-0.0796,0.0366,0.0495,-0.0971,0.1532,0.2075,-0.0157,0.0523,0.2582,0.3644,0.2838,0.3348,0.0538,-0.0534,0.062,-0.0391,0.0165,0.1193,0.3351,0.0667,-0.1288,0.1033,0.161,0.1038,0.1628,0.0677,-0.0236,-0.2617,0.0941
0010,-0.2135,-0.2883,-0.0686,-0.1307,0.0058,0.373,-0.6384,0.3258,0.4177,0.3453,0.0162,0.584,-0.119,0.2452,-0.6266,-0.2189,-0.2639,-0.2741,0.0322,0.3628,-0.3228,-0.2637,-0.2814,0.2154,-0.2057,-0.0427,-0.236,-0.2408,-0.2297,-0.2964,0.1748,0.1022,-0.4834,0.2308,0.0743,-0.0011,0.0786,0.1122,0.3758,-0.4366,0.1705,-0.2844,0.1268,0.458,-0.3367,-0.0908,0.5059,0.183,-0.5602,0.0788
